"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2294197-34";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2294197-34";"2022-02-03";"2022-02-03T12:18:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 385, de 2021.";"2022-02-03T12:17:51";"Votação em turno único.";"";"";"0";""
"2295010-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2295010-46";"2022-02-03";"2022-02-03T12:25:15";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 483, de 2021.";"2022-02-03T12:25:01";"Votação em turno único.";"";"";"0";""
"2313834-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313834-2";"2022-02-03";"2022-02-03T10:28:40";"538998";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538998";"CEXBARRA";"64593";"https://dadosabertos.camara.leg.br/api/v2/eventos/64593";"1";"0";"0";"0";"Aprovado.";"";"";"";"Apresentação do Requerimento n. 1/2022, pelo Deputado Helder Salomão  (PT/ES), que ""Requer a realização de reuniões de trabalho com entidades e instituições, públicas ou privadas, sobre a repactuação do acordo referente ao rompimento da Barragem de Fundão"".";"0";""
"2313982-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313982-4";"2022-02-04";"2022-02-04T09:13:38";"539003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539003";"GTPL2564";"64641";"https://dadosabertos.camara.leg.br/api/v2/eventos/64641";"1";"0";"0";"0";"Aprovado.";"";"";"";"Apresentação do Requerimento n. 1/2022, pelo Deputado Alexandre Padilha  (PT/SP) e outros, que ""Requer a realização de Reunião Técnica para debater o Projeto de Lei 2564/2020 que altera a Lei n° 7.498, de 25 de junho de 1986, para instituir o Piso Salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira"".";"0";""
"2311912-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2311912-2";"2022-02-08";"2022-02-08T15:25:28";"538763";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538763";"PL646119";"64629";"https://dadosabertos.camara.leg.br/api/v2/eventos/64629";"1";"0";"0";"0";"Aprovado.";"";"";"";"Apresentação do Requerimento n. 8/2021, pelo Deputado Marco Bertaiolli  (PSD/SP), que ""Requer a realização de seminários nas regiões Norte, Sul, Nordeste, Sudeste e Centro-Oeste"".";"0";""
"2311645-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2311645-2";"2022-02-08";"2022-02-08T18:43:06";"538763";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538763";"PL646119";"64629";"https://dadosabertos.camara.leg.br/api/v2/eventos/64629";"1";"0";"0";"0";"Aprovado.";"";"";"";"Apresentação do Requerimento n. 7/2021, pelo Deputado Luiz Carlos Motta  (PL/SP), que ""Requer que seja incluido representantes da Confederação Nacional dos Trabalhadores no Comércio - CNTC na Audiência Pública marcada para o dia 22/02/2022 para debater o PL nº 6.461, de 2019, que institui o Estatuto do Aprendiz. "".";"0";""
"2301088-53";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2301088-53";"2022-02-09";"2022-02-09T15:11:03";"538993";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538993";"PEC03221";"64609";"https://dadosabertos.camara.leg.br/api/v2/eventos/64609";"1";"0";"0";"0";"Aprovado o Parecer.";"2022-02-09T15:10:03";"Iniciada a Votação";"2022-02-09T14:06:05";"Parecer do Relator, Dep. Acácio Favacho (PROS-AP), pela aprovação, com substitutivo.";"2314237";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314237"
"46249-327";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-327";"2022-02-09";"2022-02-09T21:00:13";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo relator, Dep. Luiz Nishimori (PL-PR).";"2022-02-09T20:59:27";"Votação da Redação Final.";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"2314044-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314044-9";"2022-02-09";"2022-02-09T15:56:40";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"0";"0";"0";"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).";"";"";"";"";"0";""
"2313775-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313775-17";"2022-02-09";"2022-02-09T15:56:40";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento da MSC-21/2022 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"2313775-18";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313775-18";"2022-02-09";"2022-02-09T15:56:40";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento da MSC-21/2022 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"2313775-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313775-29";"2022-02-09";"2022-02-09T16:20:55";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 25 de 2022, adotado pelo relator da Comissão de Relações Exteriores e de Defesa Nacional.";"2022-02-09T16:13:19";"Votação em turno único.";"2022-02-09T16:07:41";"Parecer proferido em Plenário pelo Relator, Dep. Aécio Neves (PSDB-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Projeto de Decreto Legislativo adotado pelo relator da Comissão de Relações Exteriores e de Defesa Nacional.";"2314280";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314280"
"2313775-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313775-31";"2022-02-09";"2022-02-09T16:22:03";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Aécio Neves (PSDB-MG).";"2022-02-09T16:21:15";"Votação da Redação Final.";"2022-02-09T16:07:41";"Parecer proferido em Plenário pelo Relator, Dep. Aécio Neves (PSDB-MG), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Projeto de Decreto Legislativo adotado pelo relator da Comissão de Relações Exteriores e de Defesa Nacional.";"2314280";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314280"
"2312874-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2312874-9";"2022-02-09";"2022-02-09T17:10:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"327";"71";"71";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 327; não: 71; abstenção: 1; total: 399.";"";"";"";"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 2844/2021, pelo Deputado Luiz Nishimori (PL-PR), que: ""Requeremos a Vossa Excelência, nos termos do art. 155 do Regimento Interno da Câmara
dos Deputados, URGÊNCIA para apreciação do PL nº 6299/2002"".";"0";""
"46249-281";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-281";"2022-02-09";"2022-02-09T17:10:05";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento do PL-6299/2002 à PL629902 (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"46249-282";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-282";"2022-02-09";"2022-02-09T17:10:07";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento do PL-6299/2002 à PL629902 (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"46249-283";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-283";"2022-02-09";"2022-02-09T17:10:10";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento do PL-6299/2002 à PL629902 (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"46249-284";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-284";"2022-02-09";"2022-02-09T17:10:11";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"0";"";"1";"0";"0";"0";"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 2844/2021.";"";"";"2021-11-24T13:27:36";"Apresentação do Requerimento n. 2459/2021, pela AGRICULTURA, PECUÁRIA, ABASTECIMENTO E DES. RURAL, que ""Requer a inclusão na Ordem do Dia do Projeto de Lei n.º 490/2007 e do Projeto de Lei n.º 6.299/2002 

"".";"2308634";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2308634"
"46249-294";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-294";"2022-02-09";"2022-02-09T19:17:04";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"0";"63";"295";"70";"Rejeitado o Requerimento. Sim: 63; não: 295; abstenção: 1; total: 359.";"";"";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-297";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-297";"2022-02-09";"2022-02-09T19:47:41";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"301";"150";"3";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei 6.299, de 2002, adotada pelo relator da Comissão Especial, ressalvados os destaques. Sim: 301; não: 150; abstenção: 2; total: 453.";"2022-02-09T19:17:26";"Votação em turno único.";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-305";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-305";"2022-02-09";"2022-02-09T20:11:56";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"";"271";"128";"2";"Mantido o texto. Sim: 271; não: 128; abstenção: 1; total: 400.";"2022-02-09T19:54:40";"Votação do DTQ 1: PT: Destaque do § 1º do Art. 3° do Substitutivo oferecido ao PL 6.299/2002. (art. 161, I)";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-312";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-312";"2022-02-09";"2022-02-09T20:22:22";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"";"272";"125";"2";"Mantido o texto. Sim: 272; não: 125; abstenção: 1; total: 398.";"2022-02-09T20:09:05";"Votação do DTQ 2: PT: Destaque do §6º do Art. 3° do Substitutivo oferecido ao PL 6.299/2002. (art. 161, I)";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-313";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-313";"2022-02-09";"2022-02-09T20:30:19";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"";"266";"126";"2";"Mantido o texto. Sim: 266; não: 126; abstenção: 1; total: 393.";"2022-02-09T20:19:21";"Votação do DTQ 4: PT: destaque do §9 do Art. 3 do Substitutivo oferecido ao PL 6.299/2002 (art. 161, I)";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-316";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-316";"2022-02-09";"2022-02-09T20:39:31";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"0";"127";"256";"2";"Rejeitada a Emenda de Plenário nº 8. Sim: 127; não: 256; abstenção: 1; total: 384.";"2022-02-09T20:30:58";"Votação do DTQ 6: PSB: Emenda de Plenário nº 8 (art. 161, III).";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-319";"2022-02-09";"2022-02-09T20:50:05";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"";"264";"133";"2";"Mantido o texto. Sim: 264; não: 133; abstenção: 1; total: 398.";"2022-02-09T20:40:52";"Votação do DTQ 9: PSOL: destqque do art. 4º do substitutivo apresentado ao PL 6299/2002, para fins de supressão (art. 161, I).";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"46249-325";"https://dadosabertos.camara.leg.br/api/v2/votacoes/46249-325";"2022-02-09";"2022-02-09T20:59:10";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"0";"140";"276";"3";"Rejeitada a Emenda de Plenário nº 9. Sim: 140; não: 276; abstenção: 1; total: 417.";"2022-02-09T20:51:16";"Votação do DTQ 7: PSB: Emenda de Plenário nº 9 (161, II).";"2022-02-09T18:16:57";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Luiz Nishimori (PL-PR), pela Comissão Especial, que conclui pela não implicação sobre as despesas ou receitas públicas; pela constitucionalidade, juridicidade e boa técnica legislativa; e, no mérito, pela aprovação da Emenda de Plenário nº 7, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.";"2314311";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314311"
"2298445-40";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2298445-40";"2022-02-09";"2022-02-09T21:56:33";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"0";"18";"400";"1";"Rejeitado o Requerimento. Sim: 18; não: 400; total: 418.";"";"";"";"";"0";""
"2298445-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2298445-52";"2022-02-09";"2022-02-09T22:40:23";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64653";"https://dadosabertos.camara.leg.br/api/v2/eventos/64653";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2022-02-09T22:41:49";"Votação preliminar em turno único.";"2022-02-09T22:35:53";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Coronel Tadeu (PSL-SP), pela Comissão Mista do Congresso Nacional, que conclui pela constitucionalidade, juridicidade e técnica legislativa; pela adequação financeira e orçamentária; e, no mérito, pela rejeição.";"2314366";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2314366"
